---,MaxStructure,MaxArmor
ARC-AGC,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
ARC-T,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
AS7-BH,"(Head=1500.000000,CenterTorso=6200.000000,LeftTorso=4200.000000,RightTorso=4200.000000,LeftArm=3400.000000,RightArm=3400.000000,LeftLeg=4200.000000,RightLeg=4200.000000)","(Head=3000.000000,CenterTorso=12400.000000,LeftTorso=8400.000000,RightTorso=8400.000000,LeftArm=6800.000000,RightArm=6800.000000,LeftLeg=8400.000000,RightLeg=8400.000000)"
AS7-D,"(Head=1500.000000,CenterTorso=6200.000000,LeftTorso=4200.000000,RightTorso=4200.000000,LeftArm=3400.000000,RightArm=3400.000000,LeftLeg=4200.000000,RightLeg=4200.000000)","(Head=3000.000000,CenterTorso=12400.000000,LeftTorso=8400.000000,RightTorso=8400.000000,LeftArm=6800.000000,RightArm=6800.000000,LeftLeg=8400.000000,RightLeg=8400.000000)"
AS7-D_Nicole,"(Head=3000.000000,CenterTorso=8000.000000,LeftTorso=6500.000000,RightTorso=6500.000000,LeftArm=4500.000000,RightArm=4500.000000,LeftLeg=6500.000000,RightLeg=6500.000000)","(Head=6000.000000,CenterTorso=16000.000000,LeftTorso=13000.000000,RightTorso=13000.000000,LeftArm=9000.000000,RightArm=9000.000000,LeftLeg=13000.000000,RightLeg=13000.000000)"
AS7-K,"(Head=1500.000000,CenterTorso=6200.000000,LeftTorso=4200.000000,RightTorso=4200.000000,LeftArm=3400.000000,RightArm=3400.000000,LeftLeg=4200.000000,RightLeg=4200.000000)","(Head=3000.000000,CenterTorso=12400.000000,LeftTorso=8400.000000,RightTorso=8400.000000,LeftArm=6800.000000,RightArm=6800.000000,LeftLeg=8400.000000,RightLeg=8400.000000)"
AS7-KR,"(Head=1500.000000,CenterTorso=6200.000000,LeftTorso=4200.000000,RightTorso=4200.000000,LeftArm=3400.000000,RightArm=3400.000000,LeftLeg=4200.000000,RightLeg=4200.000000)","(Head=3000.000000,CenterTorso=12400.000000,LeftTorso=8400.000000,RightTorso=8400.000000,LeftArm=6800.000000,RightArm=6800.000000,LeftLeg=8400.000000,RightLeg=8400.000000)"
AS7-P,"(Head=1500.000000,CenterTorso=6200.000000,LeftTorso=4200.000000,RightTorso=4200.000000,LeftArm=3400.000000,RightArm=3400.000000,LeftLeg=4200.000000,RightLeg=4200.000000)","(Head=3000.000000,CenterTorso=12400.000000,LeftTorso=8400.000000,RightTorso=8400.000000,LeftArm=6800.000000,RightArm=6800.000000,LeftLeg=8400.000000,RightLeg=8400.000000)"
AS7-RS,"(Head=1500.000000,CenterTorso=6200.000000,LeftTorso=4200.000000,RightTorso=4200.000000,LeftArm=3400.000000,RightArm=3400.000000,LeftLeg=4200.000000,RightLeg=4200.000000)","(Head=3000.000000,CenterTorso=12400.000000,LeftTorso=8400.000000,RightTorso=8400.000000,LeftArm=6800.000000,RightArm=6800.000000,LeftLeg=8400.000000,RightLeg=8400.000000)"
ASN-101,"(Head=1500.000000,CenterTorso=2400.000000,LeftTorso=2000.000000,RightTorso=2000.000000,LeftArm=1200.000000,RightArm=1200.000000,LeftLeg=2000.000000,RightLeg=2000.000000)","(Head=3000.000000,CenterTorso=4800.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=2400.000000,RightArm=2400.000000,LeftLeg=4000.000000,RightLeg=4000.000000)"
ASN-21,"(Head=1500.000000,CenterTorso=2400.000000,LeftTorso=2000.000000,RightTorso=2000.000000,LeftArm=1200.000000,RightArm=1200.000000,LeftLeg=2000.000000,RightLeg=2000.000000)","(Head=3000.000000,CenterTorso=4800.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=2400.000000,RightArm=2400.000000,LeftLeg=4000.000000,RightLeg=4000.000000)"
ASN-25,"(Head=1500.000000,CenterTorso=2400.000000,LeftTorso=2000.000000,RightTorso=2000.000000,LeftArm=1200.000000,RightArm=1200.000000,LeftLeg=2000.000000,RightLeg=2000.000000)","(Head=3000.000000,CenterTorso=4800.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=2400.000000,RightArm=2400.000000,LeftLeg=4000.000000,RightLeg=4000.000000)"
ASN-26,"(Head=1500.000000,CenterTorso=2400.000000,LeftTorso=2000.000000,RightTorso=2000.000000,LeftArm=1200.000000,RightArm=1200.000000,LeftLeg=2000.000000,RightLeg=2000.000000)","(Head=3000.000000,CenterTorso=4800.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=2400.000000,RightArm=2400.000000,LeftLeg=4000.000000,RightLeg=4000.000000)"
ASN-27,"(Head=1500.000000,CenterTorso=2400.000000,LeftTorso=2000.000000,RightTorso=2000.000000,LeftArm=1200.000000,RightArm=1200.000000,LeftLeg=2000.000000,RightLeg=2000.000000)","(Head=3000.000000,CenterTorso=4800.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=2400.000000,RightArm=2400.000000,LeftLeg=4000.000000,RightLeg=4000.000000)"
ASN-DD,"(Head=1500.000000,CenterTorso=2400.000000,LeftTorso=2000.000000,RightTorso=2000.000000,LeftArm=1200.000000,RightArm=1200.000000,LeftLeg=2000.000000,RightLeg=2000.000000)","(Head=3000.000000,CenterTorso=4800.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=2400.000000,RightArm=2400.000000,LeftLeg=4000.000000,RightLeg=4000.000000)"
AWS-8Q,"(Head=1500.000000,CenterTorso=5000.000000,LeftTorso=3400.000000,RightTorso=3400.000000,LeftArm=2600.000000,RightArm=2600.000000,LeftLeg=3400.000000,RightLeg=3400.000000)","(Head=3000.000000,CenterTorso=10000.000000,LeftTorso=6800.000000,RightTorso=6800.000000,LeftArm=5200.000000,RightArm=5200.000000,LeftLeg=6800.000000,RightLeg=6800.000000)"
AWS-8R,"(Head=1500.000000,CenterTorso=5000.000000,LeftTorso=3400.000000,RightTorso=3400.000000,LeftArm=2600.000000,RightArm=2600.000000,LeftLeg=3400.000000,RightLeg=3400.000000)","(Head=3000.000000,CenterTorso=10000.000000,LeftTorso=6800.000000,RightTorso=6800.000000,LeftArm=5200.000000,RightArm=5200.000000,LeftLeg=6800.000000,RightLeg=6800.000000)"
AWS-8T,"(Head=1500.000000,CenterTorso=5000.000000,LeftTorso=3400.000000,RightTorso=3400.000000,LeftArm=2600.000000,RightArm=2600.000000,LeftLeg=3400.000000,RightLeg=3400.000000)","(Head=3000.000000,CenterTorso=10000.000000,LeftTorso=6800.000000,RightTorso=6800.000000,LeftArm=5200.000000,RightArm=5200.000000,LeftLeg=6800.000000,RightLeg=6800.000000)"
AWS-8V,"(Head=1500.000000,CenterTorso=5000.000000,LeftTorso=3400.000000,RightTorso=3400.000000,LeftArm=2600.000000,RightArm=2600.000000,LeftLeg=3400.000000,RightLeg=3400.000000)","(Head=3000.000000,CenterTorso=10000.000000,LeftTorso=6800.000000,RightTorso=6800.000000,LeftArm=5200.000000,RightArm=5200.000000,LeftLeg=6800.000000,RightLeg=6800.000000)"
AWS-9M,"(Head=1500.000000,CenterTorso=5000.000000,LeftTorso=3400.000000,RightTorso=3400.000000,LeftArm=2600.000000,RightArm=2600.000000,LeftLeg=3400.000000,RightLeg=3400.000000)","(Head=3000.000000,CenterTorso=10000.000000,LeftTorso=6800.000000,RightTorso=6800.000000,LeftArm=5200.000000,RightArm=5200.000000,LeftLeg=6800.000000,RightLeg=6800.000000)"
AWS-PB,"(Head=1500.000000,CenterTorso=5000.000000,LeftTorso=3400.000000,RightTorso=3400.000000,LeftArm=2600.000000,RightArm=2600.000000,LeftLeg=3400.000000,RightLeg=3400.000000)","(Head=3000.000000,CenterTorso=10000.000000,LeftTorso=6800.000000,RightTorso=6800.000000,LeftArm=5200.000000,RightArm=5200.000000,LeftLeg=6800.000000,RightLeg=6800.000000)"
BJ-1,"(Head=1500.000000,CenterTorso=2800.000000,LeftTorso=2200.000000,RightTorso=2200.000000,LeftArm=1400.000000,RightArm=1400.000000,LeftLeg=2200.000000,RightLeg=2200.000000)","(Head=3000.000000,CenterTorso=5600.000000,LeftTorso=4400.000000,RightTorso=4400.000000,LeftArm=2800.000000,RightArm=2800.000000,LeftLeg=4400.000000,RightLeg=4400.000000)"
BJ-1DB,"(Head=1500.000000,CenterTorso=2800.000000,LeftTorso=2200.000000,RightTorso=2200.000000,LeftArm=1400.000000,RightArm=1400.000000,LeftLeg=2200.000000,RightLeg=2200.000000)","(Head=3000.000000,CenterTorso=5600.000000,LeftTorso=4400.000000,RightTorso=4400.000000,LeftArm=2800.000000,RightArm=2800.000000,LeftLeg=4400.000000,RightLeg=4400.000000)"
BJ-1DC,"(Head=1500.000000,CenterTorso=2800.000000,LeftTorso=2200.000000,RightTorso=2200.000000,LeftArm=1400.000000,RightArm=1400.000000,LeftLeg=2200.000000,RightLeg=2200.000000)","(Head=3000.000000,CenterTorso=5600.000000,LeftTorso=4400.000000,RightTorso=4400.000000,LeftArm=2800.000000,RightArm=2800.000000,LeftLeg=4400.000000,RightLeg=4400.000000)"
BJ-1X,"(Head=1500.000000,CenterTorso=2800.000000,LeftTorso=2200.000000,RightTorso=2200.000000,LeftArm=1400.000000,RightArm=1400.000000,LeftLeg=2200.000000,RightLeg=2200.000000)","(Head=3000.000000,CenterTorso=5600.000000,LeftTorso=4400.000000,RightTorso=4400.000000,LeftArm=2800.000000,RightArm=2800.000000,LeftLeg=4400.000000,RightLeg=4400.000000)"
BJ-3,"(Head=1500.000000,CenterTorso=2800.000000,LeftTorso=2200.000000,RightTorso=2200.000000,LeftArm=1400.000000,RightArm=1400.000000,LeftLeg=2200.000000,RightLeg=2200.000000)","(Head=3000.000000,CenterTorso=5600.000000,LeftTorso=4400.000000,RightTorso=4400.000000,LeftArm=2800.000000,RightArm=2800.000000,LeftLeg=4400.000000,RightLeg=4400.000000)"
BJ-A,"(Head=1500.000000,CenterTorso=2800.000000,LeftTorso=2200.000000,RightTorso=2200.000000,LeftArm=1400.000000,RightArm=1400.000000,LeftLeg=2200.000000,RightLeg=2200.000000)","(Head=3000.000000,CenterTorso=5600.000000,LeftTorso=4400.000000,RightTorso=4400.000000,LeftArm=2800.000000,RightArm=2800.000000,LeftLeg=4400.000000,RightLeg=4400.000000)"
BL-6-KNT,"(Head=1500.000000,CenterTorso=4600.000000,LeftTorso=3200.000000,RightTorso=3200.000000,LeftArm=2400.000000,RightArm=2400.000000,LeftLeg=3200.000000,RightLeg=3200.000000)","(Head=3000.000000,CenterTorso=9200.000000,LeftTorso=6400.000000,RightTorso=6400.000000,LeftArm=4800.000000,RightArm=4800.000000,LeftLeg=6400.000000,RightLeg=6400.000000)"
BL-6B-KNT,"(Head=1500.000000,CenterTorso=4600.000000,LeftTorso=3200.000000,RightTorso=3200.000000,LeftArm=2400.000000,RightArm=2400.000000,LeftLeg=3200.000000,RightLeg=3200.000000)","(Head=3000.000000,CenterTorso=9200.000000,LeftTorso=6400.000000,RightTorso=6400.000000,LeftArm=4800.000000,RightArm=4800.000000,LeftLeg=6400.000000,RightLeg=6400.000000)"
BL-7-KNT-L,"(Head=1500.000000,CenterTorso=4600.000000,LeftTorso=3200.000000,RightTorso=3200.000000,LeftArm=2400.000000,RightArm=2400.000000,LeftLeg=3200.000000,RightLeg=3200.000000)","(Head=3000.000000,CenterTorso=9200.000000,LeftTorso=6400.000000,RightTorso=6400.000000,LeftArm=4800.000000,RightArm=4800.000000,LeftLeg=6400.000000,RightLeg=6400.000000)"
BL-7-KNT-P,"(Head=1500.000000,CenterTorso=4600.000000,LeftTorso=3200.000000,RightTorso=3200.000000,LeftArm=2400.000000,RightArm=2400.000000,LeftLeg=3200.000000,RightLeg=3200.000000)","(Head=3000.000000,CenterTorso=9200.000000,LeftTorso=6400.000000,RightTorso=6400.000000,LeftArm=4800.000000,RightArm=4800.000000,LeftLeg=6400.000000,RightLeg=6400.000000)"
BL-7-KNT,"(Head=1500.000000,CenterTorso=4600.000000,LeftTorso=3200.000000,RightTorso=3200.000000,LeftArm=2400.000000,RightArm=2400.000000,LeftLeg=3200.000000,RightLeg=3200.000000)","(Head=3000.000000,CenterTorso=9200.000000,LeftTorso=6400.000000,RightTorso=6400.000000,LeftArm=4800.000000,RightArm=4800.000000,LeftLeg=6400.000000,RightLeg=6400.000000)"
BL-P-KNT,"(Head=1500.000000,CenterTorso=4600.000000,LeftTorso=3200.000000,RightTorso=3200.000000,LeftArm=2400.000000,RightArm=2400.000000,LeftLeg=3200.000000,RightLeg=3200.000000)","(Head=3000.000000,CenterTorso=9200.000000,LeftTorso=6400.000000,RightTorso=6400.000000,LeftArm=4800.000000,RightArm=4800.000000,LeftLeg=6400.000000,RightLeg=6400.000000)"
BL-P-KNT2,"(Head=1500.000000,CenterTorso=4600.000000,LeftTorso=3200.000000,RightTorso=3200.000000,LeftArm=2400.000000,RightArm=2400.000000,LeftLeg=3200.000000,RightLeg=3200.000000)","(Head=3000.000000,CenterTorso=9200.000000,LeftTorso=6400.000000,RightTorso=6400.000000,LeftArm=4800.000000,RightArm=4800.000000,LeftLeg=6400.000000,RightLeg=6400.000000)"
BLR-1D,"(Head=1500.000000,CenterTorso=5400.000000,LeftTorso=3600.000000,RightTorso=3600.000000,LeftArm=2800.000000,RightArm=2800.000000,LeftLeg=3600.000000,RightLeg=3600.000000)","(Head=3000.000000,CenterTorso=10800.000000,LeftTorso=7200.000000,RightTorso=7200.000000,LeftArm=5600.000000,RightArm=5600.000000,LeftLeg=7200.000000,RightLeg=7200.000000)"
BLR-1G-S,"(Head=1500.000000,CenterTorso=5400.000000,LeftTorso=3600.000000,RightTorso=3600.000000,LeftArm=2800.000000,RightArm=2800.000000,LeftLeg=3600.000000,RightLeg=3600.000000)","(Head=3000.000000,CenterTorso=10800.000000,LeftTorso=7200.000000,RightTorso=7200.000000,LeftArm=5600.000000,RightArm=5600.000000,LeftLeg=7200.000000,RightLeg=7200.000000)"
BLR-1G,"(Head=1500.000000,CenterTorso=5400.000000,LeftTorso=3600.000000,RightTorso=3600.000000,LeftArm=2800.000000,RightArm=2800.000000,LeftLeg=3600.000000,RightLeg=3600.000000)","(Head=3000.000000,CenterTorso=10800.000000,LeftTorso=7200.000000,RightTorso=7200.000000,LeftArm=5600.000000,RightArm=5600.000000,LeftLeg=7200.000000,RightLeg=7200.000000)"
BLR-1GHE,"(Head=1500.000000,CenterTorso=5400.000000,LeftTorso=3600.000000,RightTorso=3600.000000,LeftArm=2800.000000,RightArm=2800.000000,LeftLeg=3600.000000,RightLeg=3600.000000)","(Head=3000.000000,CenterTorso=10800.000000,LeftTorso=7200.000000,RightTorso=7200.000000,LeftArm=5600.000000,RightArm=5600.000000,LeftLeg=7200.000000,RightLeg=7200.000000)"
BLR-1M,"(Head=1500.000000,CenterTorso=5400.000000,LeftTorso=3600.000000,RightTorso=3600.000000,LeftArm=2800.000000,RightArm=2800.000000,LeftLeg=3600.000000,RightLeg=3600.000000)","(Head=3000.000000,CenterTorso=10800.000000,LeftTorso=7200.000000,RightTorso=7200.000000,LeftArm=5600.000000,RightArm=5600.000000,LeftLeg=7200.000000,RightLeg=7200.000000)"
BLR-1P,"(Head=1500.000000,CenterTorso=5400.000000,LeftTorso=3600.000000,RightTorso=3600.000000,LeftArm=2800.000000,RightArm=2800.000000,LeftLeg=3600.000000,RightLeg=3600.000000)","(Head=3000.000000,CenterTorso=10800.000000,LeftTorso=7200.000000,RightTorso=7200.000000,LeftArm=5600.000000,RightArm=5600.000000,LeftLeg=7200.000000,RightLeg=7200.000000)"
BLR-1S,"(Head=1500.000000,CenterTorso=5400.000000,LeftTorso=3600.000000,RightTorso=3600.000000,LeftArm=2800.000000,RightArm=2800.000000,LeftLeg=3600.000000,RightLeg=3600.000000)","(Head=3000.000000,CenterTorso=10800.000000,LeftTorso=7200.000000,RightTorso=7200.000000,LeftArm=5600.000000,RightArm=5600.000000,LeftLeg=7200.000000,RightLeg=7200.000000)"
BLR-3M,"(Head=1500.000000,CenterTorso=5400.000000,LeftTorso=3600.000000,RightTorso=3600.000000,LeftArm=2800.000000,RightArm=2800.000000,LeftLeg=3600.000000,RightLeg=3600.000000)","(Head=3000.000000,CenterTorso=10800.000000,LeftTorso=7200.000000,RightTorso=7200.000000,LeftArm=5600.000000,RightArm=5600.000000,LeftLeg=7200.000000,RightLeg=7200.000000)"
BNC-2P,"(Head=1500.000000,CenterTorso=6000.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4000.000000,RightLeg=4000.000000)","(Head=3000.000000,CenterTorso=12000.000000,LeftTorso=8000.000000,RightTorso=8000.000000,LeftArm=6400.000000,RightArm=6400.000000,LeftLeg=8000.000000,RightLeg=8000.000000)"
BNC-3E,"(Head=1500.000000,CenterTorso=6000.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4000.000000,RightLeg=4000.000000)","(Head=3000.000000,CenterTorso=12000.000000,LeftTorso=8000.000000,RightTorso=8000.000000,LeftArm=6400.000000,RightArm=6400.000000,LeftLeg=8000.000000,RightLeg=8000.000000)"
BNC-3M,"(Head=1500.000000,CenterTorso=6000.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4000.000000,RightLeg=4000.000000)","(Head=3000.000000,CenterTorso=12000.000000,LeftTorso=8000.000000,RightTorso=8000.000000,LeftArm=6400.000000,RightArm=6400.000000,LeftLeg=8000.000000,RightLeg=8000.000000)"
BNC-3P,"(Head=1500.000000,CenterTorso=6000.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4000.000000,RightLeg=4000.000000)","(Head=3000.000000,CenterTorso=12000.000000,LeftTorso=8000.000000,RightTorso=8000.000000,LeftArm=6400.000000,RightArm=6400.000000,LeftLeg=8000.000000,RightLeg=8000.000000)"
BNC-3S,"(Head=1500.000000,CenterTorso=6000.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4000.000000,RightLeg=4000.000000)","(Head=3000.000000,CenterTorso=12000.000000,LeftTorso=8000.000000,RightTorso=8000.000000,LeftArm=6400.000000,RightArm=6400.000000,LeftLeg=8000.000000,RightLeg=8000.000000)"
BNC-LM,"(Head=1500.000000,CenterTorso=6000.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4000.000000,RightLeg=4000.000000)","(Head=3000.000000,CenterTorso=12000.000000,LeftTorso=8000.000000,RightTorso=8000.000000,LeftArm=6400.000000,RightArm=6400.000000,LeftLeg=8000.000000,RightLeg=8000.000000)"
BNC-SR,"(Head=1500.000000,CenterTorso=6000.000000,LeftTorso=4000.000000,RightTorso=4000.000000,LeftArm=3200.000000,RightArm=3200.000000,LeftLeg=4000.000000,RightLeg=4000.000000)","(Head=3000.000000,CenterTorso=12000.000000,LeftTorso=8000.000000,RightTorso=8000.000000,LeftArm=6400.000000,RightArm=6400.000000,LeftLeg=8000.000000,RightLeg=8000.000000)"
CDA-2A,"(Head=1500.000000,CenterTorso=2600.000000,LeftTorso=2200.000000,RightTorso=2200.000000,LeftArm=900.000000,RightArm=900.000000,LeftLeg=2000.000000,RightLeg=2000.000000)","(Head=3000.000000,CenterTorso=5200.000000,LeftTorso=4400.000000,RightTorso=4400.000000,LeftArm=1800.000000,RightArm=1800.000000,LeftLeg=4000.000000,RightLeg=4000.000000)"
CDA-2B,"(Head=1500.000000,CenterTorso=2600.000000,LeftTorso=2200.000000,RightTorso=2200.000000,LeftArm=900.000000,RightArm=900.000000,LeftLeg=2000.000000,RightLeg=2000.000000)","(Head=3000.000000,CenterTorso=5200.000000,LeftTorso=4400.000000,RightTorso=4400.000000,LeftArm=1800.000000,RightArm=1800.000000,LeftLeg=4000.000000,RightLeg=4000.000000)"
CDA-3C,"(Head=1500.000000,CenterTorso=2600.000000,LeftTorso=2200.000000,RightTorso=2200.000000,LeftArm=900.000000,RightArm=900.000000,LeftLeg=2000.000000,RightLeg=2000.000000)","(Head=3000.000000,CenterTorso=5200.000000,LeftTorso=4400.000000,RightTorso=4400.000000,LeftArm=1800.000000,RightArm=1800.000000,LeftLeg=4000.000000,RightLeg=4000.000000)"
CDA-3M,"(Head=1500.000000,CenterTorso=2600.000000,LeftTorso=2200.000000,RightTorso=2200.000000,LeftArm=900.000000,RightArm=900.000000,LeftLeg=2000.000000,RightLeg=2000.000000)","(Head=3000.000000,CenterTorso=5200.000000,LeftTorso=4400.000000,RightTorso=4400.000000,LeftArm=1800.000000,RightArm=1800.000000,LeftLeg=4000.000000,RightLeg=4000.000000)"
CDA-X5,"(Head=1500.000000,CenterTorso=2600.000000,LeftTorso=2200.000000,RightTorso=2200.000000,LeftArm=900.000000,RightArm=900.000000,LeftLeg=2000.000000,RightLeg=2000.000000)","(Head=3000.000000,CenterTorso=5200.000000,LeftTorso=4400.000000,RightTorso=4400.000000,LeftArm=1800.000000,RightArm=1800.000000,LeftLeg=4000.000000,RightLeg=4000.000000)"
CGR-1A1,"(Head=1500.000000,CenterTorso=5000.000000,LeftTorso=3400.000000,RightTorso=3400.000000,LeftArm=2600.000000,RightArm=2600.000000,LeftLeg=3400.000000,RightLeg=3400.000000)","(Head=3000.000000,CenterTorso=10000.000000,LeftTorso=6800.000000,RightTorso=6800.000000,LeftArm=5200.000000,RightArm=5200.000000,LeftLeg=6800.000000,RightLeg=6800.000000)"
CGR-1A5,"(Head=1500.000000,CenterTorso=5000.000000,LeftTorso=3400.000000,RightTorso=3400.000000,LeftArm=2600.000000,RightArm=2600.000000,LeftLeg=3400.000000,RightLeg=3400.000000)","(Head=3000.000000,CenterTorso=10000.000000,LeftTorso=6800.000000,RightTorso=6800.000000,LeftArm=5200.000000,RightArm=5200.000000,LeftLeg=6800.000000,RightLeg=6800.000000)"
CGR-1P5,"(Head=1500.000000,CenterTorso=5000.000000,LeftTorso=3400.000000,RightTorso=3400.000000,LeftArm=2600.000000,RightArm=2600.000000,LeftLeg=3400.000000,RightLeg=3400.000000)","(Head=3000.000000,CenterTorso=10000.000000,LeftTorso=6800.000000,RightTorso=6800.000000,LeftArm=5200.000000,RightArm=5200.000000,LeftLeg=6800.000000,RightLeg=6800.000000)"
CGR-3K-S,"(Head=1500.000000,CenterTorso=5000.000000,LeftTorso=3400.000000,RightTorso=3400.000000,LeftArm=2600.000000,RightArm=2600.000000,LeftLeg=3400.000000,RightLeg=3400.000000)","(Head=3000.000000,CenterTorso=10000.000000,LeftTorso=6800.000000,RightTorso=6800.000000,LeftArm=5200.000000,RightArm=5200.000000,LeftLeg=6800.000000,RightLeg=6800.000000)"
